Season,Guest star,Role(s),No.,Prod. code,Episode title
9,Marcia Wallace,Edna Krabappel,193–915,5F10,"""The Last Temptation of Krust"""
9,"Hank Williams, Jr.","Sings ""Canyonero!""",193–915,5F10,"""The Last Temptation of Krust"""
9,Steven Wright,Himself,193–915,5F10,"""The Last Temptation of Krust"""
9,Helen Hunt,Renee,194–916,5F12,"""Dumbbell Indemnity"""
9,Marcia Wallace,Edna Krabappel,194–916,5F12,"""Dumbbell Indemnity"""
9,Phil Hartman,Troy McClure,195–917,4F24,"""Lisa the Simpson"""
9,Phil Hartman,Troy McClure,196–918,5F13,"""This Little Wiggy"""
9,Marcia Wallace,Edna Krabappel,196–918,5F13,"""This Little Wiggy"""
9,Michael Carrington,Drill instructor,197–919,3G04,"""Simpson Tide"""
9,Bob Denver,Himself,197–919,3G04,"""Simpson Tide"""
9,Rod Steiger,Captain Tenille,197–919,3G04,"""Simpson Tide"""
9,Marcia Wallace,Edna Krabappel,198–920,5F14,"""The Trouble with Trillions"""
9,Paul Winfield,Lucius Sweet,198–920,5F14,"""The Trouble with Trillions"""
9,Marcia Wallace,Edna Krabappel,199–921,5F15,"""Girly Edition"""
9,Steve Martin,Ray Patterson,200–922,5F09,"""Trash of the Titans"""
9,Paul McGuinness,Himself,200–922,5F09,"""Trash of the Titans"""
9,Susie Smith,Herself,200–922,5F09,"""Trash of the Titans"""
9,U2,Themselves,200–922,5F09,"""Trash of the Titans"""
9,Marcia Wallace,Edna Krabappel,200–922,5F09,"""Trash of the Titans"""
9,Brendan Fraser,Brad,201–923,5F16,"""King of the Hill"""
9,Steven Weber,Neil,201–923,5F16,"""King of the Hill"""
9,Marcia Wallace,Edna Krabappel,202–924,5F17,"""Lost Our Lisa"""
9,Marcia Wallace,Edna Krabappel,203–925,5F18,"""Natural Born Kissers"""
10,Lisa Kudrow,Alex Whitney,204–1001,5F20,"""Lard of the Dance"""
10,William Daniels,KITT,205–1002,5F21,"""The Wizard of Evergreen Terrace"""
10,Phil Hartman,Troy McClure,206–1003,5F22,"""Bart the Mother"""
10,Marcia Wallace,Edna Krabappel,206–1003,5F22,"""Bart the Mother"""
10,Robert Englund,Freddy Krueger,207–1004,AABF01,"""Treehouse of Horror IX"""
10,Kathie Lee Gifford,Herself (live action),207–1004,AABF01,"""Treehouse of Horror IX"""
10,Ed McMahon,Himself,207–1004,AABF01,"""Treehouse of Horror IX"""
10,Regis Philbin,Himself (live action),207–1004,AABF01,"""Treehouse of Horror IX"""
10,Jerry Springer,Himself,207–1004,AABF01,"""Treehouse of Horror IX"""
10,Alec Baldwin,Himself,208–1005,5F19,"""When You Dish Upon a Star"""
10,Kim Basinger,Herself,208–1005,5F19,"""When You Dish Upon a Star"""
10,Brian Grazer,Himself,208–1005,5F19,"""When You Dish Upon a Star"""
10,Ron Howard,Himself,208–1005,5F19,"""When You Dish Upon a Star"""
10,George Carlin,Munchie,209–1006,AABF02,"""D'oh-in in the Wind"""
10,Martin Mull,Seth,209–1006,AABF02,"""D'oh-in in the Wind"""
10,Yo La Tengo,Play the end credits,209–1006,AABF02,"""D'oh-in in the Wind"""
10,Marcia Wallace,Edna Krabappel,210–1007,AABF03,"""Lisa Gets an ""A"""""
10,Mark Hamill,Himself::Leavelle::Theater owner,212–1009,AABF05,"""Mayored to the Mob""::"
10,Joe Mantegna,Fat Tony,212–1009,AABF05,"""Mayored to the Mob"""
10,Dick Tufeld,Robot B-9,212–1009,AABF05,"""Mayored to the Mob"""
10,Marcia Wallace,Edna Krabappel,212–1009,AABF05,"""Mayored to the Mob"""
10,The Moody Blues,Themselves,213–1010,AABF06,"""Viva Ned Flanders"""
10,Marcia Wallace,Edna Krabappel,213–1010,AABF06,"""Viva Ned Flanders"""
10,Cyndi Lauper,Herself,214–1011,AABF07,"""Wild Barts Can't Be Broken"""
10,Franklin D. Roosevelt (archival),Himself,214–1011,AABF07,"""Wild Barts Can't Be Broken"""
10,Marcia Wallace,Edna Krabappel,214–1011,AABF07,"""Wild Barts Can't Be Broken"""
10,Troy Aikman,Himself,215–1012,AABF08,"""Sunday, Cruddy Sunday"""
10,Rosey Grier,Himself,215–1012,AABF08,"""Sunday, Cruddy Sunday"""
10,John Madden,Himself,215–1012,AABF08,"""Sunday, Cruddy Sunday"""
10,Dan Marino,Himself,215–1012,AABF08,"""Sunday, Cruddy Sunday"""
10,Rupert Murdoch,Himself,215–1012,AABF08,"""Sunday, Cruddy Sunday""::"
10,Dolly Parton,Herself,215–1012,AABF08,"""Sunday, Cruddy Sunday"""
10,Pat Summerall,Himself,215–1012,AABF08,"""Sunday, Cruddy Sunday"""
10,Fred Willard,Wally Kogen,215–1012,AABF08,"""Sunday, Cruddy Sunday"""
10,"Ed Begley, Jr.",Himself,216–1013,AABF09,"""Homer to the Max"""
10,Jan Hooks,Manjula Nahasapeemapetilon,217–1014,AABF11,"""I'm with Cupid"""
10,Elton John,Himself,217–1014,AABF11,"""I'm with Cupid"""
10,Marcia Wallace,Edna Krabappel,217–1014,AABF11,"""I'm with Cupid"""
10,John Kassir,Possum,218–1015,AABF10,"""Marge Simpson in: ""Screaming Yellow Honkers"""""
10,Marcia Wallace,Edna Krabappel,218–1015,AABF10,"""Marge Simpson in: ""Screaming Yellow Honkers"""""
10,"Hank Williams, Jr.","Sings ""Canyonero!""",218–1015,AABF10,"""Marge Simpson in: ""Screaming Yellow Honkers"""""
10,Marcia Wallace,Mrs. Krabapatra,221–1018,AABF14,"""Simpsons Bible Stories"""
10,Michael Dees,"Sings ""Arrivederci Roma""",222–1019,AABF15,"""Mom and Pop Art"""
10,Jasper Johns,Himself,222–1019,AABF15,"""Mom and Pop Art"""
10,Isabella Rossellini,Astrid Weller,222–1019,AABF15,"""Mom and Pop Art"""
10,Marcia Wallace,Edna Krabappel,222–1019,AABF15,"""Mom and Pop Art"""
10,Jack LaLanne,Himself,223–1020,AABF16,"""The Old Man and the ""C"" Student"""
10,NRBQ,"Sing ""Can't Buy Me Love""",223–1020,AABF16,"""The Old Man and the ""C"" Student"""
10,Michael McKean,Jerry Rude,224–1021,AABF17,"""Monty Can't Buy Me Love"""
10,Stephen Hawking,Himself,225–1022,AABF18,"""They Saved Lisa's Brain"""
10,Denice Kumagai,Mother,226–1023,AABF20,"""Thirty Minutes over Tokyo"""
10,Karen Maruyama,Stewardess,226–1023,AABF20,"""Thirty Minutes over Tokyo"""
10,George Takei,Wink,226–1023,AABF20,"""Thirty Minutes over Tokyo"""
10,Gedde Watanabe,Waiter::Father::Toilet,226–1023,AABF20,"""Thirty Minutes over Tokyo"""
10,Keone Young,Sumo wrestler,226–1023,AABF20,"""Thirty Minutes over Tokyo"""
11,Jack Burns,Edward Christian,227–1101,AABF23,"""Beyond Blunderdome"""
11,Mel Gibson,Himself,227–1101,AABF23,"""Beyond Blunderdome"""
11,Marcia Wallace,Edna Krabappel,227–1101,AABF23,"""Beyond Blunderdome"""
11,Mark McGwire,Himself,228–1102,AABF22,"""Brother's Little Helper"""
11,Marcia Wallace,Edna Krabappel,228–1102,AABF22,"""Brother's Little Helper"""
11,Edward Asner,Newspaper editor,229–1103,AABF21,"""Guess Who's Coming to Criticize Dinner?"""
11,Marcia Wallace,Edna Krabappel,229–1103,AABF21,"""Guess Who's Coming to Criticize Dinner?"""
11,Tom Arnold,Himself,230–1104,BABF01,"""Treehouse of Horror X"""
11,Dick Clark,Himself,230–1104,BABF01,"""Treehouse of Horror X"""
11,Lucy Lawless,Herself,230–1104,BABF01,"""Treehouse of Horror X"""
11,Frank Welker,Werewolf::Werewolf Flanders,230–1104,BABF01,"""Treehouse of Horror X"""
11,The B-52's,"Sing ""Glove Slap"" (parody of the song Love Shack)",231–1105,AABF19,"""E-I-E-I-(Annoyed Grunt)"""
11,Marcia Wallace,Edna Krabappel,231–1105,AABF19,"""E-I-E-I-(Annoyed Grunt)"""
11,Frank Welker,Various animals,231–1105,AABF19,"""E-I-E-I-(Annoyed Grunt)"""
11,Ron Howard,Himself,232–1106,BABF02,"""Hello Gutter, Hello Fadder"""
11,Penn Jillette,Himself,232–1106,BABF02,"""Hello Gutter, Hello Fadder"""
11,Pat O'Brien,Himself,232–1106,BABF02,"""Hello Gutter, Hello Fadder"""
11,Nancy O'Dell,Herself,232–1106,BABF02,"""Hello Gutter, Hello Fadder"""
11,Teller,Himself,232–1106,BABF02,"""Hello Gutter, Hello Fadder"""
11,Marcia Wallace,Edna Krabappel,232–1106,BABF02,"""Hello Gutter, Hello Fadder"""
11,Jan Hooks,Manjula Nahasapeemapetilon,233–1107,BABF03,"""Eight Misbehavin'"""
11,Garry Marshall,Larry Kidkill,233–1107,BABF03,"""Eight Misbehavin'"""
11,Butch Patrick,Himself,233–1107,BABF03,"""Eight Misbehavin'"""
11,Marcia Wallace,Edna Krabappel,233–1107,BABF03,"""Eight Misbehavin'"""
11,Frank Welker,Zoo animals,233–1107,BABF03,"""Eight Misbehavin'"""
11,John Goodman,Meathook,234–1108,BABF05,"""Take My Wife, Sleaze"""
11,Jan Hooks,Manjula Nahasapeemapetilon,234–1108,BABF05,"""Take My Wife, Sleaze"""
11,Jay North,Himself,234–1108,BABF05,"""Take My Wife, Sleaze"""
11,NRBQ,Perform various songs,234–1108,BABF05,"""Take My Wife, Sleaze"""
11,Marcia Wallace,Edna Krabappel,234–1108,BABF05,"""Take My Wife, Sleaze"""
11,Henry Winkler,Ramrod,234–1108,BABF05,"""Take My Wife, Sleaze"""
11,Clarence Clemons,Narrator,235–1109,BABF07,"""Grift of the Magi"""
11,Gary Coleman,Himself,235–1109,BABF07,"""Grift of the Magi"""
11,Joe Mantegna,Fat Tony,235–1109,BABF07,"""Grift of the Magi"""
11,Tim Robbins,Jim Hope,235–1109,BABF07,"""Grift of the Magi"""
11,Marcia Wallace,Edna Krabappel,235–1109,BABF07,"""Grift of the Magi"""
11,Elwood Edwards,Virtual doctor,236–1110,BABF04,"""Little Big Mom"""
11,Marcia Wallace,Edna Krabappel,236–1110,BABF04,"""Little Big Mom"""
11,Don Cheadle,Brother Faith,237–1111,BABF06,"""Faith Off"""
11,Joe Mantegna,Fat Tony,237–1111,BABF06,"""Faith Off"""
11,Marcia Wallace,Edna Krabappel,237–1111,BABF06,"""Faith Off"""
11,Britney Spears,Herself,238–1112,BABF08,"""The Mansion Family"""
11,Randy Bachman,Himself,239–1113,BABF09,"""Saddlesore Galactica"""
11,Jim Cummings,Duncan/Furious D,239–1113,BABF09,"""Saddlesore Galactica"""
11,Trevor Denman,Track announcer,239–1113,BABF09,"""Saddlesore Galactica"""
11,Fred Turner,Himself,239–1113,BABF09,"""Saddlesore Galactica"""
11,Shawn Colvin,Rachel Jordan,240–1114,BABF10,"""Alone Again, Natura-Diddily"""
11,Marcia Wallace,Edna Krabappel,240–1114,BABF10,"""Alone Again, Natura-Diddily"""
11,Frank Welker,Parrot,240–1114,BABF10,"""Alone Again, Natura-Diddily"""
11,Betty White,Herself,241–1115,BABF11,"""Missionary: Impossible"""
11,Marcia Wallace,Edna Krabappel,242–1116,BABF12,"""Pygmoelian"""
11,Marcia Wallace,Edna Krabappel,244–1118,BABF14,"""Days of Wine and D'oh'ses"""
11,Diedrich Bader,Sheriff,245–1119,BABF16,"""Kill the Alligator and Run"""
11,Joe C.,Himself,245–1119,BABF16,"""Kill the Alligator and Run"""
11,Robert Evans,Himself,245–1119,BABF16,"""Kill the Alligator and Run"""
11,Kid Rock,Himself,245–1119,BABF16,"""Kill the Alligator and Run"""
11,Charlie Rose,Himself,245–1119,BABF16,"""Kill the Alligator and Run"""
11,Frank Welker,Lion,246–1120,BABF15,"""Last Tap Dance in Springfield"""
11,Parker Posey,Becky,247–1121,BABF18,"""It's a Mad, Mad, Mad, Mad Marge"""
11,Marcia Wallace,Edna Krabappel,247–1121,BABF18,"""It's a Mad, Mad, Mad, Mad Marge"""
11,Marc Wilmore,Dr. Wilmore,247–1121,BABF18,"""It's a Mad, Mad, Mad, Mad Marge"""
11,Jim Forbes,Narrator,248–1122,BABF19,"""Behind the Laughter"""
11,Willie Nelson,Himself,248–1122,BABF19,"""Behind the Laughter"""
11,Marcia Wallace,Edna Krabappel,248–1122,BABF19,"""Behind the Laughter"""
12,Frank Welker,Dolphins,249–1201,BABF21,"""Treehouse of Horror XI"""
12,Gary Coleman,Himself,250–1202,BABF20,"""A Tale of Two Springfields"""
12,Marcia Wallace,Edna Krabappel,250–1202,BABF20,"""A Tale of Two Springfields"""
12,Frank Welker,Badger::Woodpecker,250–1202,BABF20,"""A Tale of Two Springfields"""
12,The Who,Themselves,250–1202,BABF20,"""A Tale of Two Springfields"""
12,Drew Barrymore,Sophie,251–1203,BABF17,"""Insane Clown Poppy"""
12,Stephen King,Himself,251–1203,BABF17,"""Insane Clown Poppy"""
12,Joe Mantegna,Fat Tony,251–1203,BABF17,"""Insane Clown Poppy"""
12,Jay Mohr,Christopher Walken,251–1203,BABF17,"""Insane Clown Poppy"""
12,Amy Tan,Herself,251–1203,BABF17,"""Insane Clown Poppy"""
12,John Updike,Himself,251–1203,BABF17,"""Insane Clown Poppy"""
12,Joshua Jackson,Jesse Grass,252–1204,CABF01,"""Lisa the Tree Hugger"""
12,Leeza Gibbons,Herself,253–1205,CABF04,"""Homer vs. Dignity"""
12,Marcia Wallace,Edna Krabappel,253–1205,CABF04,"""Homer vs. Dignity"""
12,Patrick McGoohan,Number Six,254–1206,CABF02,"""The Computer Wore Menace Shoes"""
12,Marcia Wallace,Edna Krabappel,254–1206,CABF02,"""The Computer Wore Menace Shoes"""
12,Edward Norton,Devon Bradley,255–1207,CABF03,"""The Great Money Caper"""
12,Marcia Wallace,Edna Krabappel,256–1208,CABF06,"""Skinner's Sense of Snow"""
12,Michael Keaton,Jack Crowley,258–1210,CABF05,"""Pokey Mom"""
12,Charles Napier,Warden,258–1210,CABF05,"""Pokey Mom"""
12,Robert Schimmel,Convict,258–1210,CABF05,"""Pokey Mom"""
12,Bruce Vilanch,Himself,258–1210,CABF05,"""Pokey Mom"""
12,Marcia Wallace,Edna Krabappel,258–1210,CABF05,"""Pokey Mom"""
12,Neil Armstrong (archival),Himself,259–1211,CABF08,"""Worst Episode Ever"""
12,Johnnie Cochran (archival),Himself,259–1211,CABF08,"""Worst Episode Ever"""
12,Richard Nixon (archival),Himself,259–1211,CABF08,"""Worst Episode Ever"""
12,Tom Savini,Himself,259–1211,CABF08,"""Worst Episode Ever"""
12,Andre Agassi,Himself,260–1212,CABF07,"""Tennis the Menace"""
12,Pete Sampras,Himself,260–1212,CABF07,"""Tennis the Menace"""
12,Marcia Wallace,Edna Krabappel,260–1212,CABF07,"""Tennis the Menace"""
12,Serena Williams,Herself,260–1212,CABF07,"""Tennis the Menace"""
12,Venus Williams,Herself,260–1212,CABF07,"""Tennis the Menace"""
12,Gary Coleman,Himself,261–1213,CABF10,"""Day of the Jackanapes"""
12,Kelsey Grammer,Sideshow Bob,261–1213,CABF10,"""Day of the Jackanapes"""
12,'N Sync,Themselves,262–1214,CABF12,"""New Kids on the Blecch"""
12,Stacy Keach,Howard K. Duff VIII,263–1215,CABF09,"""Hungry, Hungry Homer"""
12,Marcia Wallace,Edna Krabappel,263–1215,CABF09,"""Hungry, Hungry Homer"""
12,Kathy Griffin,Francine,264–1216,CABF11,"""Bye Bye Nerdie"""
12,Jan Hooks,Manjula Nahasapeemapetilon,264–1216,CABF11,"""Bye Bye Nerdie"""
12,Marcia Wallace,Edna Krabappel,264–1216,CABF11,"""Bye Bye Nerdie"""
12,Frank Welker,Various animals,265–1217,CABF13,"""Simpson Safari"""
12,Joe Mantegna,Fat Tony,266–1218,CABF14,"""Trilogy of Error"""
12,Frankie Muniz,Thelonius,266–1218,CABF14,"""Trilogy of Error"""
12,Shawn Colvin,Rachel Jordan,267–1219,CABF15,"""I'm Goin' to Praiseland"""
12,Marcia Wallace,Edna Krabappel,267–1219,CABF15,"""I'm Goin' to Praiseland"""
12,Marcia Wallace,Edna Krabappel,269–1221,CABF17,"""Simpsons Tall Tales"""
12,Frank Welker,"Babe, the Blue Ox::Various animals",269–1221,CABF17,"""Simpsons Tall Tales"""
13,Pierce Brosnan,Ultrahouse's Pierce Brosnan voice::Himself,270–1301,CABF19,"""Treehouse of Horror XII"""
13,Matthew Perry,Ultrahouse's Matthew Perry voice,270–1301,CABF19,"""Treehouse of Horror XII"""
13,Marcia Wallace,Edna Krabappel,270–1301,CABF19,"""Treehouse of Horror XII"""
13,Jess Harnell,Various animals,271–1302,CABF22,"""The Parent Rap"""
13,Jane Kaczmarek,Judge Constance Harm,271–1302,CABF22,"""The Parent Rap"""
13,Marcia Wallace,Edna Krabappel,271–1302,CABF22,"""The Parent Rap"""
13,R.E.M.,Themselves,272–1303,CABF20,"""Homer the Moe"""
13,Julia Louis-Dreyfus,Gloria,273–1304,CABF18,"""A Hunka Hunka Burns in Love"""
13,George Takei,Waiter,273–1304,CABF18,"""A Hunka Hunka Burns in Love"""
13,Joe Mantegna,Fat Tony,274–1305,CABF21,"""The Blunder Years"""
13,Paul Newman,Himself,274–1305,CABF21,"""The Blunder Years"""
13,Judith Owen,Herself,274–1305,CABF21,"""The Blunder Years"""
13,Richard Gere,Himself,275–1306,DABF02,"""She of Little Faith"""
13,Jane Kaczmarek,Judge Constance Harm,276–1307,DABF01,"""Brawl in the Family"""
13,Delroy Lindo,Gabriel,276–1307,DABF01,"""Brawl in the Family"""
13,Ben Stiller,Garth Motherloving,277–1308,DABF03,"""Sweets and Sour Marge"""
13,Dana Gould,Producer,278–1309,DABF05,"""Jaws Wired Shut"""
13,John Kassir,Various Animals,278–1309,DABF05,"""Jaws Wired Shut"""
13,Jon Lovitz,Artie Ziff,279–1310,DABF04,"""Half-Decent Proposal"""
13,Marcia Wallace,Edna Krabappel,279–1310,DABF04,"""Half-Decent Proposal"""
13,Wolfgang Puck,Himself,280–1311,DABF06,"""The Bart Wants What It Wants"""
13,Reese Witherspoon,Greta Wolfcastle,280–1311,DABF06,"""The Bart Wants What It Wants"""
13,Dennis Weaver,Buck McCoy,281–1312,DABF07,"""The Lastest Gun in the West"""
13,Frank Welker,Dog,281–1312,DABF07,"""The Lastest Gun in the West"""
13,Olympia Dukakis,Zelda,282–1313,DABF09,"""The Old Man and the Key"""
13,Bill Saluga,Ray J. Johnson,282–1313,DABF09,"""The Old Man and the Key"""
13,Sally Stevens,"Sings ""Island of Sirens"" (parody of the song Copacabana)",283–1314,DABF08,"""Tales from the Public Domain"""
13,Phish,Themselves,285–1316,DABF11,"""Weekend at Burnsie's"""
13,Stan Lee,Himself,287–1318,DABF13,"""I Am Furious (Yellow)"""
13,Marcia Wallace,Edna Krabappel,287–1318,DABF13,"""I Am Furious (Yellow)"""
13,James Lipton,Himself,288–1319,DABF14,"""The Sweetest Apu"""
13,Robert Pinsky,Himself,289–1320,DABF15,"""Little Girl in the Big Ten"""
13,Carmen Electra,Herself,290–1321,DABF16,"""The Frying Game"""
13,Frances Sternhagen,Mrs. Bellamy,290–1321,DABF16,"""The Frying Game"""
13,Joe Mantegna,Fat Tony,291–1322,DABF17,"""Poppa's Got a Brand New Badge"""
13,Marcia Wallace,Edna Krabappel,291–1322,DABF17,"""Poppa's Got a Brand New Badge"""
14,Elvis Costello,Himself,293–1402,DABF22,"""How I Spent My Strummer Vacation"""
14,Mick Jagger,Himself,293–1402,DABF22,"""How I Spent My Strummer Vacation"""
14,Lenny Kravitz,Himself,293–1402,DABF22,"""How I Spent My Strummer Vacation"""
14,Tom Petty,Himself,293–1402,DABF22,"""How I Spent My Strummer Vacation"""
14,Keith Richards,Himself,293–1402,DABF22,"""How I Spent My Strummer Vacation"""
14,Brian Setzer,Himself,293–1402,DABF22,"""How I Spent My Strummer Vacation"""
14,Marcia Wallace,Edna Krabappel,293–1402,DABF22,"""How I Spent My Strummer Vacation"""
14,Tony Bennett,"Sings ""Capital City""",294–1403,DABF20,"""Bart vs. Lisa vs. the Third Grade"""
14,Marcia Wallace,Edna Krabappel,294–1403,DABF20,"""Bart vs. Lisa vs. the Third Grade"""
14,Baha Men,Themselves,295–1404,DABF18,"""Large Marge"""
14,Jan Hooks,Manjula Nahasapeemapetilon,295–1404,DABF18,"""Large Marge"""
14,Marcia Wallace,Edna Krabappel,295–1404,DABF18,"""Large Marge"""
14,Burt Ward,Robin,295–1404,DABF18,"""Large Marge"""
14,Adam West,Batman,295–1404,DABF18,"""Large Marge"""
14,Larry Holmes,Himself,296–1405,DABF21,"""Helter Shelter"""
14,David Lander,Himself,296–1405,DABF21,"""Helter Shelter"""
14,Kelsey Grammer,Sideshow Bob,297–1406,EABF01,"""The Great Louse Detective"""
14,Sally Stevens,"Sings ""The Way We Were""",297–1406,EABF01,"""The Great Louse Detective"""
14,Little Richard,Himself,298–1407,EABF02,"""Special Edna"""
14,Marcia Wallace,Edna Krabappel,298–1407,EABF02,"""Special Edna"""
14,Elliott Gould,Himself,299–1408,EABF03,"""The Dad Who Knew Too Little"""
14,Pamela Reed,Ruth Powers,300–1409,EABF04,"""Strong Arms of the Ma"""
14,Ken Burns,Himself,301–1410,EABF06,"""Pray Anything"""
14,Lisa Leslie,Herself,301–1410,EABF06,"""Pray Anything"""
14,Blink-182,Themselves,302–1411,EABF05,"""Barting Over"""
14,Tony Hawk,Himself,302–1411,EABF05,"""Barting Over"""
14,Jane Kaczmarek,Judge Constance Harm,302–1411,EABF05,"""Barting Over"""
14,Marcia Wallace,Edna Krabappel,302–1411,EABF05,"""Barting Over"""
14,George Plimpton,Himself,303–1412,EABF07,"""I'm Spelling as Fast as I Can"""
14,James L. Brooks,Himself,304–1413,EABF08,"""A Star Is Born Again"""
14,Helen Fielding,Herself,304–1413,EABF08,"""A Star Is Born Again"""
14,Gene Merlino,"Sings ""Jellyfish""",304–1413,EABF08,"""A Star Is Born Again"""
14,Marisa Tomei,Sara Sloane,304–1413,EABF08,"""A Star Is Born Again"""
14,Marcia Wallace,Edna Krabappel,304–1413,EABF08,"""A Star Is Born Again"""
14,Joe Mantegna,Fat Tony,305–1414,EABF09,"""Mr. Spritz Goes to Washington"""
14,Eric Idle,Declan Desmond,307–1416,EABF11,"""'Scuse Me While I Miss the Sky"""
14,Joe Mantegna,Fat Tony,307–1416,EABF11,"""'Scuse Me While I Miss the Sky"""
14,Marcia Wallace,Edna Krabappel,307–1416,EABF11,"""'Scuse Me While I Miss the Sky"""
14,Terry W. Greene,Large Gay Military Man,308–1417,EABF12,"""Three Gays of the Condo"""
14,Ben Schatz,Himself,308–1417,EABF12,"""Three Gays of the Condo"""
14,Scott Thompson,Grady,308–1417,EABF12,"""Three Gays of the Condo"""
14,"""Weird Al"" Yankovic",Himself,308–1417,EABF12,"""Three Gays of the Condo"""
14,David Byrne,Himself,309–1418,EABF13,"""Dude, Where's My Ranch?"""
14,Andy Serkis,Cleanie,309–1418,EABF13,"""Dude, Where's My Ranch?"""
14,Jonathan Taylor Thomas,Luke Stetson,309–1418,EABF13,"""Dude, Where's My Ranch?"""
14,Stacy Keach,Howard K. Duff VII,310–1419,EABF14,"""Old Yeller Belly"""
14,John Kassir,Various animals,310–1419,EABF14,"""Old Yeller Belly"""
14,Jackson Browne,Himself,311–1420,EABF15,"""Brake My Wife, Please"""
14,Steve Buscemi,Himself,311–1420,EABF15,"""Brake My Wife, Please"""
14,Jane Kaczmarek,Judge Constance Harm,311–1420,EABF15,"""Brake My Wife, Please"""
14,Marcia Wallace,Edna Krabappel,311–1420,EABF15,"""Brake My Wife, Please"""
14,Joe Mantegna,Fat Tony,313–1422,EABF17,"""Moe Baby Blues"""
15,Oscar De La Hoya,Himself,314–1501,EABF21,"""Treehouse of Horror XIV"""
15,Jennifer Garner,Herself,314–1501,EABF21,"""Treehouse of Horror XIV"""
15,Dudley R. Herschbach,Himself,314–1501,EABF21,"""Treehouse of Horror XIV"""
15,Jerry Lewis,Professor John Frink Sr.,314–1501,EABF21,"""Treehouse of Horror XIV"""
15,Glenn Close,Mona Simpson,315–1502,EABF18,"""My Mother the Carjacker"""
15,Michael Moore,Himself,316–1503,EABF20,"""The President Wore Pearls"""
15,Marcia Wallace,Edna Krabappel,316–1503,EABF20,"""The President Wore Pearls"""
15,Tony Blair,Himself,317–1504,EABF22,"""The Regina Monologues"""
15,Jane Leeves,Edwina,317–1504,EABF22,"""The Regina Monologues"""
15,Evan Marriott,Himself,317–1504,EABF22,"""The Regina Monologues"""
15,Ian McKellen,Himself,317–1504,EABF22,"""The Regina Monologues"""
15,J. K. Rowling,Herself,317–1504,EABF22,"""The Regina Monologues"""
15,Charles Napier,Grant Connor,318–1505,EABF19,"""The Fat and the Furriest"""
15,Jackie Mason,Rabbi Hyman Krustofsky,319–1506,FABF01,"""Today I Am A Clown"""
15,Mr. T,Himself,319–1506,FABF01,"""Today I Am A Clown"""
15,Jim Gilstrap,Soulful Prune,320–1507,FABF02,"""'Tis the Fifteenth Season"""
15,Marcia Wallace,Edna Krabappel,321–1508,FABF03,"""Marge vs. Singles, Seniors, Childless Couples and Teens and Gays"""
15,Tom Clancy,Himself,323–1510,FABF05,"""Diatribe of a Mad Housewife"""
15,Ashley Olsen,Herself,323–1510,FABF05,"""Diatribe of a Mad Housewife"""
15,Mary-Kate Olsen,Herself,323–1510,FABF05,"""Diatribe of a Mad Housewife"""
15,Thomas Pynchon,Himself,323–1510,FABF05,"""Diatribe of a Mad Housewife"""
15,Nick Bakay,Salem Saberhagen,325–1512,FABF07,"""Milhouse Doesn't Live Here Anymore"""
15,William Daniels,KITT,325–1512,FABF07,"""Milhouse Doesn't Live Here Anymore"""
15,Isabel Sanford,Herself,325–1512,FABF07,"""Milhouse Doesn't Live Here Anymore"""
15,Dick Tufeld,Robot B-9,325–1512,FABF07,"""Milhouse Doesn't Live Here Anymore"""
15,Marcia Wallace,Edna Krabappel,325–1512,FABF07,"""Milhouse Doesn't Live Here Anymore"""
15,Simon Cowell,Henry,326–1513,FABF09,"""Smart and Smarter"""
15,Jon Lovitz,Artie Ziff::Jay Sherman::Llewelyn Sinclair::Aristotle Amadopoulis::Professor Lombardo,327–1514,FABF08,"""The Ziff Who Came to Dinner"""
15,Brave Combo,Play the end credits,328–1515,FABF10,"""Co-Dependent's Day"""
15,Marcia Wallace,Edna Krabappel,328–1515,FABF10,"""Co-Dependent's Day"""
15,Sarah Michelle Gellar,Gina Vendetti,329–1516,FABF11,"""The Wandering Juvie"""
15,Jane Kaczmarek,Judge Constance Harm,329–1516,FABF11,"""The Wandering Juvie"""
15,Charles Napier,Warden,329–1516,FABF11,"""The Wandering Juvie"""
15,Marcia Wallace,Edna Krabappel,329–1516,FABF11,"""The Wandering Juvie"""
15,Matt Groening,Himself,330–1517,FABF12,"""My Big Fat Geek Wedding"""
15,Marcia Wallace,Edna Krabappel,330–1517,FABF12,"""My Big Fat Geek Wedding"""
15,Mark Campbell,Country singer,332–1519,FABF15,"""Simple Simpson"""
15,Nichelle Nichols,Herself,332–1519,FABF15,"""Simple Simpson"""
15,Marcia Wallace,Edna Krabappel,334–1521,FABF17,"""The Bart-Mangled Banner"""
16,Marie Cain,"Sings ""I've Got You Under My Skin""",336–1601,FABF23,"""Treehouse of Horror XV"""
16,James Caan,Himself,337–1602,FABF20,"""All's Fair in Oven War"""
16,Thomas Pynchon,Himself,337–1602,FABF20,"""All's Fair in Oven War"""
16,Marcia Wallace,Edna Krabappel,337–1602,FABF20,"""All's Fair in Oven War"""
16,Marcia Wallace,Edna Krabappel,338–1603,FABF19,"""Sleeping with the Enemy"""
16,Kim Cattrall,Chloe Talbot,339–1604,FABF22,"""She Used to Be My Girl"""
16,Michael Dees,"Sings ""Too-Ra-Loo-Ra-Loo-Ral (That's an Irish Lullaby)""",339–1604,FABF22,"""She Used to Be My Girl"""
